COMPANY_NAME,LOAD_NUM,INVOICE_ID,INVOICE_DATE,DUE_DATE,BALANCE,TOTAL_AMOUNT,,
Avengers Transport Group LLC,1146611,1,7/29/2020,8/12/2020,0,115,,
Thor Logistics Inc,14031,3,9/10/2020,9/24/2020,0,70,,
Thor Logistics Inc,14119,2,9/10/2020,9/24/2020,0,250,,
10 Rings Logistics Transport Inc,200229,4,9/11/2020,9/25/2020,0,85,,
Captain Marvel Logistics,372387,6,9/11/2020,9/25/2020,0,90,,
"Kamar Taj Transport, LLC",2293709,7,9/11/2020,9/25/2020,0,80,,
Thanos Diversified,879083,5,9/11/2020,9/25/2020,0,80,,
Avengers Advantage,3620,8,9/29/2020,10/13/2020,0,45,,
IRON MAN ENTERPRISE LOGISTICS,282746,9,10/14/2020,10/28/2020,0,170,,
10 Rings Logistics Transport Inc,207873,10,10/22/2020,11/5/2020,0,65,,
Wasp Logistics,40572,11,10/27/2020,11/10/2020,0,52.5,,
"Captain America Trans Express, Co",285679,12,11/1/2020,11/15/2020,0,15,,
IRON MAN ENTERPRISE LOGISTICS,285246,13,11/4/2020,11/18/2020,0,107.5,,
"Sanctum Sanctorum International Group, LLC",6678945,14,11/6/2020,11/20/2020,0,395,,
10 Rings Logistics Transport Inc,209475,15,11/12/2020,11/26/2020,0,160,,
Avengers Transport Group LLC,169018,16,11/14/2020,11/28/2020,0,60,,
Valkyries Global Logistics,3000914005,17,11/20/2020,12/4/2020,0,100,,
Valkyries Global Logistics,3000914005LFA,18,11/30/2020,12/14/2020,0,0,,
10 Rings Logistics Transport Inc,213072,19,12/6/2020,12/20/2020,30,330,,
XMEN Logistics,5112014,20,12/6/2020,12/20/2020,0,180,,
XMEN Logistics,5111997,21,12/7/2020,12/21/2020,0,116,,
10 Rings Logistics Transport Inc,212547,22,12/10/2020,12/24/2020,0,200,,
Valkyries Global Logistics,10235090,23,12/10/2020,12/24/2020,0,380,,
Valkyries Global Logistics,3000923790,24,12/11/2020,12/25/2020,0,115,,
"Sanctum Sanctorum International Group, LLC",6734170,25,12/14/2020,12/28/2020,0,130,,
Avengers and SHIELD Brokerage,669255,26,1/7/2021,1/21/2021,0,285,,
Spiderman Logistics,136308,27,1/8/2021,1/22/2021,0,163.954,,
Avengers Transport Group LLC,1187935,28,1/10/2021,1/24/2021,0,100,,
Avengers Transport Group LLC,1188166,29,1/14/2021,1/28/2021,0,110,,
XMEN Logistics,5119727,30,2/23/2021,3/9/2021,0,180,,
Valkyries Global Logistics,3000966516,31,3/8/2021,3/22/2021,0,110,,
ETERNALS LOGISTICS,449914,32,3/10/2021,3/24/2021,0,75,,
Captain Marvel Logistics,387188,35,3/12/2021,3/26/2021,0,130,,
Guardians of the Galaxy Transport Services,223975,33,3/12/2021,3/26/2021,0,175,,
Guardians of the Galaxy Transport Services,224090,34,3/12/2021,3/26/2021,0,115,,
10 Rings Logistics Transport Inc,217088,36,3/13/2021,3/27/2021,0,300,,
Captain Marvel Logistics,387017,37,3/13/2021,3/27/2021,0,200,,
"Avengers Transport, INC",A3801212,38,3/18/2021,4/1/2021,0,320,,
ETERNALS LOGISTICS,450278,39,3/23/2021,4/6/2021,0,155,,
"Captain America Trans Express, Co",302519,40,3/25/2021,4/24/2021,0,190,,
Captain Marvel Logistics,387883,41,3/27/2021,4/26/2021,85,85,,
Dr. Strange Transport LLC,3162,42,3/30/2021,4/29/2021,85,85,,
Avengers Transport Group LLC,1207109,43,4/1/2021,5/1/2021,0,290,,
"Kamar Taj Transport, LLC",2336216,44,4/1/2021,5/1/2021,0,80,,
Spiderman Logistics,145613,45,4/5/2021,4/19/2021,0,150,,
Spiderman Logistics,145613LF,46,4/12/2021,5/12/2021,0,22.284,,
Avengers Advantage,43530,47,4/19/2021,5/19/2021,0,65,,
Avengers and SHIELD Brokerage,721025,49,4/22/2021,5/22/2021,0,48,,
"Captain America Trans Express, Co",305918,48,4/22/2021,5/22/2021,0,90,,
Guardians of the Galaxy Transport Services,226656,50,4/26/2021,5/26/2021,0,600.5,,
Rocket Raccoon + Groot Group,110925489,51,4/28/2021,5/28/2021,0,62.1,,
Avengers Transport Group LLC,1212878,52,4/29/2021,5/29/2021,0,260,,
CAPTAIN AMERICA TRANS EXPRESS,L1025158,53,5/4/2021,6/3/2021,0,95,,
Guardians of the Galaxy Transport Services,227860,54,5/4/2021,6/3/2021,0,260,,
AVENGERS SUCCESS TRANS,11601,55,5/10/2021,6/9/2021,0,220,,
IRON MAN ENTERPRISE LOGISTICS,305396,56,5/11/2021,6/10/2021,0,330,,
Valkyries Global Logistics,3001008120,58,5/11/2021,6/10/2021,0,100,,
XMEN Logistics,5126465,57,5/11/2021,6/10/2021,0,339,,
Guardians of the Galaxy Transport Services,226656D,59,5/14/2021,6/13/2021,0,0,,
Avengers Transport Group LLC,1218098,60,5/17/2021,6/16/2021,0,100,,
IRON MAN ENTERPRISE LOGISTICS,306950,61,5/18/2021,6/17/2021,0,45,,
Valkyries Global Logistics,60000320,62,5/18/2021,6/17/2021,0,430,,
"Kamar Taj Transport, LLC",2346980,63,5/22/2021,6/21/2021,0,320.95,,
Guardians of the Galaxy Transport Services,228990,64,5/23/2021,6/22/2021,0,200,,
IRON MAN ENTERPRISE LOGISTICS,307988,65,5/26/2021,6/15/2021,0,55,,
Valkyries Global Logistics,3001013015,67,5/31/2021,6/20/2021,0,100,,
Valkyries Global Logistics,3001014572,66,5/31/2021,6/20/2021,0,330,,
Starlord Logistics LLC,111090218,68,6/1/2021,6/21/2021,0,110,,
Valkyries Global Logistics,3001022345,69,6/4/2021,6/24/2021,0,80,,
ETERNALS LOGISTICS,455927,70,6/8/2021,7/8/2021,0,60,,
Loki Logisitcs Solution,,71,6/14/2021,7/4/2021,0,298.275,,
Valkyries Global Logistics,,72,6/16/2021,7/6/2021,25,25,,
Avengers and SHIELD Brokerage,,74,6/18/2021,7/8/2021,0,50,,
Valkyries Global Logistics,,73,6/18/2021,7/8/2021,0,100,,
10 Rings Logistics Transport Inc,,75,6/24/2021,7/14/2021,0,440,,
Avengers and SHIELD Brokerage,,77,6/24/2021,7/14/2021,0,330,,
Starlord Logistics LLC,,76,6/24/2021,7/14/2021,0,80,,
Catwoman BRokerage Inc,,78,6/25/2021,7/15/2021,0,210,,
"Kamar Taj Transport, LLC",,79,6/28/2021,7/18/2021,0,127.4,,
"Sanctum Sanctorum International Group, LLC",,80,6/28/2021,7/18/2021,0,375,,
Dr. Strange Transport LLC,,81,6/29/2021,7/19/2021,150,150,,
XMEN Logistics,,82,6/29/2021,7/19/2021,0,110,,
Valkyries Global Logistics,,83,7/6/2021,7/26/2021,0,345,,
Avengers Transport Group LLC,,84,7/8/2021,7/28/2021,0,130,,
Captain Marvel Logistics,,85,7/8/2021,7/28/2021,0,70,,
Avengers Transport Group LLC,,86,7/9/2021,7/29/2021,0,300,,
Captain Marvel Logistics,,87,7/9/2021,7/29/2021,0,170,,
Spiderman Logistics,,88,7/12/2021,8/1/2021,0,269.5,,
Spiderman Logistics,,89,7/12/2021,8/1/2021,269.5,269.5,,
Guardians of the Galaxy Transport Services,,90,7/13/2021,8/2/2021,610,610,,
IRON MAN ENTERPRISE LOGISTICS,,91,7/16/2021,8/5/2021,140,140,,
"Sanctum Sanctorum International Group, LLC",,92,7/19/2021,8/8/2021,37.5,37.5,,
Catwoman BRokerage Inc,,93,7/20/2021,8/9/2021,12.9,252.9,,
"Kamar Taj Transport, LLC",,94,7/20/2021,8/9/2021,0,122.99,,
AVENGERS SUCCESS TRANS,,95,7/22/2021,8/11/2021,0,165,,
CAPTAIN AMERICA TRANS,,96,7/26/2021,8/15/2021,0,355,,
Wasp Logistics,,97,7/27/2021,8/16/2021,0,125,,
"Sanctum Sanctorum International Group, LLC",,99,7/28/2021,8/17/2021,0,222.5,,
Starlord Logistics LLC,,98,7/28/2021,8/17/2021,0,180,,
Avengers and SHIELD Brokerage,,100,7/30/2021,8/19/2021,0,100,,
Avengers and SHIELD Brokerage,771119,101,8/4/2021,8/24/2021,0,250,,
XMEN Logistics,5134821,102,8/9/2021,8/29/2021,0,375,,
IRON MAN ENTERPRISE LOGISTICS,317096,103,8/13/2021,9/2/2021,0,320,,
IRON MAN ENTERPRISE LOGISTICS,316258,104,8/16/2021,9/5/2021,0,570,,
Starlord Logistics LLC,111533947,105,8/16/2021,9/5/2021,0,420,,
Spiderman Logistics,167151,106,8/19/2021,9/8/2021,0,254.8,,
"Captain America Trans Express, Co",321627,107,8/20/2021,9/9/2021,0,250,,
Agents of SHIELD,10089,108,8/24/2021,9/13/2021,0,210,,
Avengers and SHIELD Brokerage,785049,109,8/24/2021,9/13/2021,0,260,,
Guardians of the Galaxy Transport Services,235453,111,8/26/2021,9/15/2021,0,77.5,,
Wasp Logistics,41780,110,8/26/2021,9/15/2021,0,27.5,,
Valkyries Global Logistics,60006655,113,8/27/2021,9/16/2021,0,260,,
XMEN Logistics,5136206,112,8/27/2021,9/16/2021,12.5,392.5,,
IRON MAN ENTERPRISE LOGISTICS,319498,114,8/29/2021,9/18/2021,0,240,,
IRON MAN ENTERPRISE LOGISTICS,319315,115,8/31/2021,9/20/2021,0,150,,
Avengers Transport Group LLC,1244395,117,9/1/2021,9/21/2021,0,500,,
Thanos Diversified,910967,116,9/1/2021,9/21/2021,0,360,,
"Ant Man Logistics, Inc",105855,118,9/2/2021,9/22/2021,0,160,,
Avengers Advantage,52750,119,9/7/2021,10/7/2021,0,60,,
Avengers Advantage,52674,120,9/8/2021,10/8/2021,0,80,,
Black Panther Freight Management,13867,121,9/8/2021,10/8/2021,0,90,,
Avengers Advantage,52334,122,9/9/2021,10/9/2021,0,70,,
Avengers Advantage,52749,123,9/10/2021,10/10/2021,60,60,,
Valkyries Global Logistics,60009529,124,9/11/2021,10/11/2021,0,100,,
Starlord Logistics LLC,111685423,125,9/13/2021,10/13/2021,0,70,,
Avengers and SHIELD Brokerage,803487,126,9/14/2021,10/14/2021,0,112,,
Avengers and SHIELD Brokerage,802166,128,9/16/2021,10/16/2021,0,320,,
The Hulk LLC,10189,127,9/16/2021,10/16/2021,0,196,,
